FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.16008,16008,POINT (16.423708665239182 48.210926861121415),Öffentlich indoor,"2., Engerthstraße 267-269",38580,"Sporthalle (Bahnradsport, Leichtathletik, Turnen, Mehrzweck-Veranstaltungshalle)",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/stadien/dusika.html,2,
SPORTSTAETTENOGD.16009,16009,POINT (16.42513189188817 48.209517531917754),Öffentlich indoor,"2., Engerthstraße 267-269",13137,"Sport & Fun Halle (Badminton, Beachvolleyball, Inlinehockey, Streetbasketball, Kunstrasensoccer, Tischtennis, Fitness)",https://www.wien.gv.at/freizeit/sportamt/sportstaetten/sportfun/engerthstrasse.html,2,
SPORTSTAETTENOGD.16010,16010,POINT (16.404972904788348 48.2252780888764),Öffentlich outdoor,"2., Mexikoplatz/Kirche 13 ggü",485,"polysportiver Hartplatz,<br />polysportiver Hartplatz",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16011,16011,POINT (16.438765674918432 48.189845153548944),Vereinssport outdoor,"2., Freudenau 555",2040,Reitsportanlage,http://www.askoe-wien.at/de/menu_4/sportanlagen/reitsportzentrum-freudenau,7,
SPORTSTAETTENOGD.16012,16012,POINT (16.4408479821024 48.18900420536989),Vereinssport outdoor,"2., Freudenau 555a",65540,Reitsportanlage,http://www.askoe-wien.at/de/menu_4/sportanlagen/reitsportzentrum-freudenau,7,
SPORTSTAETTENOGD.16013,16013,POINT (16.440664049002137 48.19100526203351),Vereinssport outdoor,"2., Freudenau 65a",42097,Golfanlage,http://www.gcwien.at/,7,
SPORTSTAETTENOGD.16014,16014,POINT (16.4413065005844 48.196712508939235),Öffentlich outdoor,"2., Aspernallee, Grafenwiese 3 neben",3150,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16015,16015,POINT (16.45291240303009 48.1913850572525),Vereinssport outdoor,"2., Hafenzufahrtsstraße 63",3500,Reitsportanlage,http://www.reitenimprater.at/,7,
SPORTSTAETTENOGD.16016,16016,POINT (16.42900744174164 48.20875534249277),Öffentlich outdoor,"2., Handelskai 341-343",34650,Bootssport (Motorboot),http://www.marina.at/,3,
SPORTSTAETTENOGD.16017,16017,POINT (16.402303320050212 48.21240563429804),Vereinssport outdoor,"2., Hauptallee 121",520,22 Trampolinanlagen,http://kolarik.com/inhalt.php?kat=3&start=1,7,
SPORTSTAETTENOGD.16018,16018,POINT (16.403748260114345 48.211856567234676),Vereinssport outdoor,"2., Hauptallee 123a",29380,"Hockeystadion (Kunstrasen),<br />Tennisanlage (7 Plätze)",http://www.hockey.at/,7,
SPORTSTAETTENOGD.16019,16019,POINT (16.404874381122347 48.21088049527059),Öffentlich indoor,"2., Hauptallee 124",3400,Bowlinghalle,https://www.kugeltanz.at/,2,
SPORTSTAETTENOGD.16020,16020,POINT (16.3925517047966 48.216273687984874),Öffentlich indoor,"2., Hauptallee 2a",650,"Kegelbahn, Fitness, Hallenfußball, Gymnastik",https://www.eisenbahnersport.at/freizeitanlage-wien-praterstern-kegelbahn-fitnessstudio-hallenfussball-gymnastik-sauna,2,
SPORTSTAETTENOGD.16021,16021,POINT (16.398721375964104 48.21322323460142),Öffentlich outdoor,"2., Hauptallee 3 ggü",12000,polysportiver Rasenplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16022,16022,POINT (16.392104604398217 48.232689903335526),Öffentlich outdoor,"2., Innstraße 25 ggü",780,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16023,16023,POINT (16.42582643256631 48.20809488799826),Vereinssport outdoor,"2., Josef Fritschweg 2-4",30000,"Rasenplatz,<br />Kunstrasenplatz (Fußball),<br />Tennisanlage (4 Plätze), Freizeitanlage",http://www.energiezentrum.wien/,7,
